satisfaction_level,satisfaction_level_tuned,last_evaluation,last_evaluation_tuned,number_project,number_project_tuned,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.09,0.62,0.62,0.62,6,4,294,4,0,1,0,accounting,low
0.45,0.45,0.57,0.57,2,4,134,3,0,1,0,hr,low
0.4,0.4,0.51,0.71,2,4,145,3,0,1,0,hr,low
0.45,0.45,0.55,0.71,2,4,140,3,0,1,0,hr,low
0.84,0.84,0.87,0.87,4,4,246,6,0,1,0,hr,low
0.1,0.62,0.94,0.71,6,4,255,4,0,1,0,technical,low
0.38,0.38,0.46,0.71,2,4,137,3,0,1,0,technical,low
0.45,0.45,0.5,0.71,2,4,126,3,0,1,0,technical,low
0.11,0.62,0.89,0.71,6,4,306,4,0,1,0,technical,low
0.41,0.41,0.54,0.71,2,4,152,3,0,1,0,technical,low
0.87,0.62,0.88,0.71,5,5,269,5,0,1,0,technical,low
0.45,0.45,0.48,0.71,2,4,158,3,0,1,0,technical,low
0.4,0.4,0.46,0.71,2,4,127,3,0,1,0,technical,low
0.1,0.62,0.8,0.8,7,4,281,4,0,1,0,technical,low
0.09,0.62,0.89,0.71,6,4,276,4,0,1,0,technical,low
0.84,0.84,0.74,0.74,3,3,182,4,0,1,0,technical,low
0.4,0.4,0.55,0.71,2,4,147,3,0,1,0,support,low
0.57,0.57,0.7,0.7,3,3,273,6,0,1,0,support,low
0.4,0.4,0.54,0.71,2,4,148,3,0,1,0,support,low
0.43,0.43,0.47,0.71,2,4,147,3,0,1,0,support,low
0.13,0.62,0.78,0.78,6,4,152,2,0,1,0,support,low
0.44,0.44,0.55,0.71,2,4,135,3,0,1,0,support,low
0.38,0.38,0.55,0.71,2,4,134,3,0,1,0,support,low
0.39,0.39,0.54,0.71,2,4,132,3,0,1,0,support,low
0.1,0.62,0.92,0.71,7,4,307,4,0,1,0,support,low
0.37,0.62,0.46,0.71,2,4,140,3,0,1,0,support,low
0.11,0.62,0.94,0.71,7,4,255,4,0,1,0,support,low
0.1,0.62,0.81,0.81,6,4,309,4,0,1,0,technical,low
0.38,0.38,0.54,0.71,2,4,128,3,0,1,0,technical,low
0.85,0.62,1,0.71,4,4,225,5,0,1,0,technical,low
0.85,0.62,0.91,0.71,5,5,226,5,0,1,0,management,medium
0.11,0.62,0.93,0.71,7,4,308,4,0,1,0,IT,medium
0.1,0.62,0.95,0.71,6,4,244,5,0,1,0,IT,medium
0.36,0.62,0.56,0.56,2,4,132,3,0,1,0,IT,medium
0.11,0.62,0.94,0.71,6,4,286,4,0,1,0,IT,medium
0.81,0.81,0.7,0.7,6,4,161,4,0,1,0,IT,medium
0.43,0.43,0.54,0.71,2,4,153,3,0,1,0,product_mng,medium
0.9,0.62,0.98,0.71,4,4,264,6,0,1,0,product_mng,medium
0.76,0.76,0.86,0.86,5,5,223,5,1,1,0,product_mng,medium
0.43,0.43,0.5,0.71,2,4,135,3,0,1,0,product_mng,medium
0.74,0.74,0.99,0.71,2,4,277,3,0,1,0,IT,medium
0.09,0.62,0.77,0.77,5,5,275,4,0,1,0,product_mng,medium
0.45,0.45,0.49,0.71,2,4,149,3,0,1,0,product_mng,high
0.09,0.62,0.87,0.87,7,4,295,4,0,1,0,product_mng,low
0.11,0.62,0.97,0.71,6,4,277,4,0,1,0,product_mng,medium
0.11,0.62,0.79,0.79,7,4,306,4,0,1,0,product_mng,medium
0.1,0.62,0.83,0.83,6,4,295,4,0,1,0,product_mng,medium
0.4,0.4,0.54,0.71,2,4,137,3,0,1,0,marketing,medium
0.43,0.43,0.56,0.56,2,4,157,3,0,1,0,sales,low
0.39,0.39,0.56,0.56,2,4,142,3,0,1,0,accounting,low
0.45,0.45,0.54,0.71,2,4,140,3,0,1,0,support,low
0.38,0.38,0.49,0.71,2,4,151,3,0,1,0,technical,low
0.79,0.79,0.59,0.59,4,4,139,3,0,1,1,management,low
0.84,0.84,0.85,0.85,4,4,249,6,0,1,0,marketing,low
0.11,0.62,0.77,0.77,6,4,291,4,0,1,0,marketing,low
0.11,0.62,0.87,0.87,6,4,305,4,0,1,0,marketing,low
0.17,0.62,0.84,0.84,5,5,232,3,0,1,0,sales,low
0.44,0.44,0.45,0.71,2,4,132,3,0,1,0,sales,low
0.37,0.62,0.57,0.57,2,4,130,3,0,1,0,sales,low
0.1,0.62,0.79,0.79,6,4,291,4,0,1,0,sales,low
0.4,0.4,0.5,0.71,2,4,130,3,0,1,0,sales,low
0.89,0.62,1,0.71,5,5,246,5,0,1,0,sales,low
0.42,0.42,0.48,0.71,2,4,143,3,0,1,0,sales,low
0.46,0.46,0.55,0.71,2,4,129,3,0,1,0,sales,low
0.09,0.62,0.83,0.83,6,4,255,4,0,1,0,sales,low
0.37,0.62,0.51,0.71,2,4,155,3,0,1,0,sales,low
0.1,0.62,0.77,0.77,6,4,265,4,0,1,0,sales,low
0.1,0.62,0.84,0.84,6,4,279,4,0,1,0,sales,low
0.11,0.62,0.97,0.71,6,4,284,4,0,1,0,sales,low
0.9,0.62,1,0.71,5,5,221,6,0,1,0,sales,medium
0.38,0.38,0.52,0.71,2,4,154,3,0,1,0,sales,medium
0.36,0.62,0.52,0.71,2,4,147,3,0,1,0,sales,medium
0.42,0.42,0.46,0.71,2,4,150,3,0,1,0,sales,medium
0.09,0.62,0.94,0.71,7,4,267,4,0,1,0,sales,medium
0.43,0.43,0.52,0.71,2,4,158,3,0,1,0,sales,medium
0.24,0.62,0.46,0.71,7,4,224,5,0,1,0,accounting,medium
0.91,0.62,1,0.71,4,4,257,5,0,1,0,accounting,medium
0.44,0.44,0.5,0.71,2,4,148,3,0,1,0,accounting,medium
0.71,0.71,0.87,0.87,3,3,177,4,0,1,0,hr,medium
0.4,0.4,0.49,0.71,2,4,155,3,0,1,0,hr,medium
0.43,0.43,0.47,0.71,2,4,144,3,0,1,0,hr,medium
0.09,0.62,0.85,0.85,6,4,289,4,0,1,0,hr,high
0.43,0.43,0.52,0.71,2,4,160,3,0,1,0,technical,low
0.9,0.62,0.96,0.71,4,4,258,5,0,1,0,technical,medium
0.84,0.84,1,0.71,5,5,234,5,0,1,0,technical,medium
0.37,0.62,0.48,0.71,2,4,137,3,0,1,0,technical,medium
0.86,0.62,0.68,0.68,5,5,263,2,0,1,0,technical,medium
0.11,0.62,0.84,0.84,6,4,251,4,0,1,0,technical,low
0.37,0.62,0.57,0.57,2,4,133,3,0,1,0,technical,low
0.4,0.4,0.46,0.71,2,4,132,3,0,1,0,technical,low
0.14,0.62,0.62,0.62,4,4,158,4,1,1,0,technical,low
0.4,0.4,0.46,0.71,2,4,135,3,0,1,0,technical,low
0.75,0.75,1,0.71,4,4,216,6,0,1,0,technical,low
0.11,0.62,0.84,0.84,6,4,300,5,1,1,0,support,low
0.46,0.46,0.49,0.71,2,4,138,3,0,1,0,support,low
0.11,0.62,0.92,0.71,6,4,260,4,0,1,0,support,low
0.38,0.38,0.49,0.71,2,4,132,3,0,1,0,support,low
0.7,0.7,0.89,0.71,3,3,183,5,0,1,0,support,low
0.09,0.62,0.82,0.82,6,4,250,4,0,1,0,support,low
0.37,0.62,0.45,0.71,2,4,151,3,0,1,0,support,low
0.1,0.62,0.83,0.83,6,4,292,4,0,1,0,support,low
0.38,0.38,0.57,0.57,2,4,140,3,0,1,0,support,low
0.9,0.62,1,0.71,5,5,221,5,0,1,0,support,low
0.44,0.44,0.51,0.71,2,4,138,3,0,1,0,support,low
0.36,0.62,0.5,0.71,2,4,132,3,0,1,0,technical,low
0.31,0.62,0.84,0.84,7,4,133,5,0,1,0,technical,low
0.1,0.62,0.84,0.84,6,4,283,4,1,1,0,technical,low
0.42,0.42,0.48,0.71,2,4,129,3,0,1,0,management,low
0.74,0.74,1,0.71,4,4,249,5,0,1,0,IT,low
0.73,0.73,0.87,0.87,5,5,257,5,0,1,0,IT,low
0.09,0.62,0.96,0.71,6,4,245,4,0,1,0,IT,low
0.45,0.45,0.53,0.71,2,4,155,3,0,1,0,IT,low
0.11,0.62,0.8,0.8,6,4,256,4,0,1,0,IT,low
0.37,0.62,0.47,0.71,2,4,152,3,0,1,0,product_mng,low
0.84,0.84,0.99,0.71,4,4,267,5,0,1,0,product_mng,low
0.41,0.41,0.46,0.71,2,4,151,3,0,1,0,product_mng,low
0.76,0.76,0.92,0.71,4,4,239,5,0,1,0,product_mng,low
0.11,0.62,0.87,0.87,6,4,306,4,0,1,0,IT,low
0.84,0.84,0.88,0.71,4,4,263,5,1,1,0,marketing,low
0.39,0.39,0.5,0.71,2,4,147,3,0,1,0,marketing,low
0.11,0.62,0.91,0.71,6,4,278,4,0,1,0,marketing,low
0.45,0.45,0.56,0.56,2,4,154,3,0,1,0,marketing,low
0.37,0.62,0.52,0.71,2,4,143,3,0,1,0,marketing,low
0.4,0.4,0.52,0.71,2,4,155,3,0,1,0,marketing,low
0.39,0.39,0.48,0.71,2,4,160,3,0,1,0,sales,low
0.11,0.62,0.8,0.8,6,4,304,4,0,1,0,accounting,low
0.83,0.83,1,0.71,5,5,240,5,0,1,0,support,low
0.11,0.62,0.92,0.71,6,4,305,4,0,1,0,technical,low
0.39,0.39,0.5,0.71,2,4,136,3,0,1,0,management,low
0.45,0.45,0.45,0.71,2,4,132,3,0,1,0,marketing,low
0.1,0.62,0.95,0.71,7,4,301,4,0,1,0,marketing,low
0.9,0.62,0.98,0.71,5,5,243,6,0,1,0,marketing,low
0.45,0.45,0.51,0.71,2,4,147,3,0,1,0,sales,low
0.79,0.79,0.89,0.71,5,5,239,5,0,1,0,sales,low
0.9,0.62,0.99,0.71,5,5,260,5,0,1,0,sales,low
0.11,0.62,0.84,0.84,7,4,296,4,0,1,0,sales,low
0.43,0.43,0.55,0.71,2,4,129,3,0,1,0,sales,low
0.31,0.62,0.54,0.71,5,5,132,5,0,1,0,sales,low
0.32,0.62,0.5,0.71,2,4,135,5,0,1,0,sales,low
0.45,0.45,0.57,0.57,2,4,158,3,0,1,0,sales,low
0.81,0.81,0.99,0.71,4,4,259,5,0,1,0,sales,low
0.41,0.41,0.46,0.71,2,4,160,3,0,1,1,sales,low
0.11,0.62,0.78,0.78,7,4,278,4,0,1,0,sales,low
0.1,0.62,0.88,0.71,6,4,284,4,0,1,0,sales,low
0.7,0.7,0.53,0.71,2,4,274,4,0,1,0,sales,low
0.54,0.54,0.74,0.74,4,4,164,2,0,1,0,sales,low
0.41,0.41,0.48,0.71,2,4,148,3,0,1,0,sales,low
0.38,0.38,0.5,0.71,2,4,140,3,0,1,0,sales,medium
0.37,0.62,0.51,0.71,2,4,127,3,0,1,0,sales,medium
0.11,0.62,0.85,0.85,6,4,308,5,0,1,0,sales,medium
0.4,0.4,0.47,0.71,2,4,146,3,0,1,0,sales,medium
0.1,0.62,0.84,0.84,6,4,261,4,0,1,0,accounting,medium
0.89,0.62,0.99,0.71,5,5,257,5,0,1,0,accounting,medium
0.11,0.62,0.8,0.8,6,4,285,4,0,1,0,accounting,medium
0.36,0.62,0.55,0.71,2,4,141,3,0,1,0,hr,medium
0.4,0.4,0.46,0.71,2,4,127,3,0,1,0,hr,medium
0.09,0.62,0.85,0.85,6,4,297,4,0,1,0,hr,medium
0.4,0.4,0.46,0.71,2,4,143,3,0,1,0,hr,medium
0.37,0.62,0.55,0.71,2,4,152,3,0,1,0,technical,medium
0.44,0.44,0.51,0.71,2,4,156,3,0,1,0,technical,high
0.09,0.62,0.8,0.8,7,4,283,5,0,1,0,technical,low
0.92,0.62,0.87,0.87,4,4,226,6,1,1,0,technical,medium
0.74,0.74,0.91,0.71,4,4,232,5,0,1,0,technical,medium
0.09,0.62,0.82,0.82,6,4,249,4,0,1,0,technical,medium
0.89,0.62,0.95,0.71,4,4,275,5,0,1,0,technical,medium
0.09,0.62,0.8,0.8,6,4,304,4,0,1,0,technical,low
0.27,0.62,0.54,0.71,7,4,278,3,0,1,0,technical,low
0.1,0.62,0.91,0.71,6,4,287,4,0,1,0,technical,low
0.1,0.62,0.89,0.71,7,4,285,4,0,1,0,technical,low
0.77,0.77,0.94,0.71,5,5,226,6,0,1,0,support,low
0.9,0.62,0.82,0.82,5,5,259,5,0,1,0,support,low
0.39,0.39,0.5,0.71,2,4,135,3,0,1,0,support,low
0.76,0.76,1,0.71,5,5,219,5,0,1,0,support,low
0.1,0.62,0.93,0.71,6,4,256,4,0,1,0,support,low
0.87,0.62,0.9,0.71,5,5,254,6,0,1,0,support,low
0.38,0.38,0.5,0.71,2,4,153,3,0,1,0,support,low
0.77,0.77,0.99,0.71,5,5,228,5,0,1,0,support,low
0.78,0.78,0.87,0.87,4,4,228,5,0,1,0,support,low
0.44,0.44,0.5,0.71,2,4,128,3,0,1,0,support,low
0.38,0.38,0.52,0.71,2,4,153,3,0,1,0,support,low
0.43,0.43,0.46,0.71,2,4,156,3,0,1,0,technical,low
0.39,0.39,0.5,0.71,4,4,294,3,0,1,0,technical,low
0.88,0.62,1,0.71,5,5,219,5,0,1,0,technical,low
0.45,0.45,0.46,0.71,2,4,153,3,0,1,0,management,low
0.4,0.4,0.53,0.71,2,4,151,3,0,1,0,IT,low
0.36,0.62,0.51,0.71,2,4,155,3,0,1,0,IT,low
0.36,0.62,0.48,0.71,2,4,158,3,0,1,0,IT,low
0.9,0.62,0.98,0.71,5,5,245,5,0,1,0,IT,low
0.43,0.43,0.53,0.71,2,4,131,3,0,1,0,IT,low
0.89,0.62,0.87,0.87,5,5,225,5,0,1,0,product_mng,low
0.1,0.62,0.84,0.84,6,4,286,4,0,1,0,product_mng,low
0.37,0.62,0.5,0.71,2,4,135,3,0,1,0,product_mng,low
0.37,0.62,0.51,0.71,2,4,153,3,0,1,0,product_mng,low
0.87,0.62,0.9,0.71,5,5,252,5,0,1,0,IT,low
0.4,0.4,0.56,0.56,2,4,149,3,0,1,0,accounting,low
0.9,0.62,0.97,0.71,4,4,258,5,0,1,0,accounting,low
0.37,0.62,0.46,0.71,2,4,158,3,0,1,0,hr,low
0.44,0.44,0.54,0.71,2,4,149,3,0,1,0,hr,low
0.85,0.62,0.95,0.71,5,5,236,5,0,1,0,hr,low
0.78,0.78,0.98,0.71,5,5,239,6,0,1,0,marketing,low
0.42,0.42,0.47,0.71,2,4,159,3,0,1,0,marketing,low
0.92,0.62,0.99,0.71,5,5,255,6,0,1,0,sales,low
0.11,0.62,0.83,0.83,6,4,244,4,0,1,0,accounting,low
0.42,0.42,0.56,0.56,2,4,134,3,0,1,0,support,low
0.48,0.48,0.57,0.57,4,4,270,4,0,1,0,technical,low
0.83,0.83,0.85,0.85,4,4,255,5,0,1,0,management,low
0.4,0.4,0.53,0.71,2,4,151,3,0,1,0,marketing,low
0.43,0.43,0.45,0.71,2,4,135,3,0,1,0,marketing,low
0.43,0.43,0.53,0.71,2,4,146,3,0,1,0,marketing,low
0.1,0.62,0.97,0.71,7,4,254,4,0,1,0,sales,low
0.1,0.62,0.87,0.87,7,4,289,4,0,1,0,sales,low
0.37,0.62,0.46,0.71,2,4,156,3,0,1,0,sales,low
0.38,0.38,0.53,0.71,2,4,156,3,0,1,0,sales,low
0.4,0.4,0.5,0.71,2,4,128,3,0,1,0,sales,low
0.89,0.62,0.86,0.86,5,5,275,5,0,1,0,sales,low
0.45,0.45,0.46,0.71,2,4,155,3,0,1,0,sales,low
0.37,0.62,0.48,0.71,2,4,159,3,0,1,0,sales,low
0.46,0.46,0.49,0.71,2,4,148,3,0,1,0,sales,low
0.87,0.62,0.91,0.71,4,4,228,5,0,1,0,sales,low
0.11,0.62,0.84,0.84,6,4,298,4,0,1,0,sales,low
0.79,0.79,0.87,0.87,5,5,261,5,0,1,0,sales,low
0.79,0.79,0.92,0.71,5,5,254,6,0,1,0,sales,low
0.19,0.62,0.59,0.59,7,4,192,3,0,1,0,sales,low
0.87,0.62,0.98,0.71,4,4,248,5,0,1,0,sales,low
0.6,0.6,0.92,0.71,2,4,258,5,0,1,0,sales,low
0.44,0.44,0.45,0.71,2,4,156,3,0,1,0,sales,medium
0.11,0.62,0.81,0.81,6,4,266,4,1,1,0,sales,medium
0.42,0.42,0.54,0.71,2,4,156,3,0,1,0,sales,medium
0.88,0.62,0.88,0.71,5,5,232,5,1,1,0,accounting,medium
0.11,0.62,0.84,0.84,6,4,287,4,0,1,0,accounting,medium
0.46,0.46,0.46,0.71,2,4,154,3,0,1,0,accounting,medium
0.82,0.82,0.97,0.71,5,5,263,5,0,1,0,hr,medium
0.44,0.44,0.56,0.56,2,4,131,3,0,1,0,hr,medium
0.11,0.62,0.78,0.78,6,4,260,4,0,1,0,hr,medium
0.42,0.42,0.5,0.71,2,4,139,3,0,1,0,hr,medium
0.84,0.84,0.93,0.71,4,4,251,5,0,1,0,technical,medium
0.11,0.62,0.95,0.71,6,4,286,4,0,1,0,technical,medium
0.45,0.45,0.53,0.71,2,4,129,3,0,1,0,technical,high
0.38,0.38,0.56,0.56,2,4,156,3,0,1,0,technical,low
0.38,0.38,0.86,0.86,6,4,139,6,0,1,0,technical,medium
0.44,0.44,0.51,0.71,2,4,127,3,0,1,0,technical,medium
0.11,0.62,0.84,0.84,6,4,251,4,0,1,0,technical,medium
0.81,0.81,0.93,0.71,5,5,270,5,0,1,0,technical,medium
0.09,0.62,0.96,0.71,6,4,296,4,0,1,0,technical,low
0.11,0.62,0.9,0.71,6,4,254,4,0,1,0,technical,low
0.81,0.81,0.95,0.71,5,5,238,6,0,1,0,technical,low
0.1,0.62,0.97,0.71,6,4,267,4,1,1,0,support,low
0.74,0.74,0.89,0.71,5,5,229,6,0,1,0,support,low
0.09,0.62,0.78,0.78,6,4,254,4,0,1,0,support,low
0.82,0.82,0.81,0.81,4,4,233,4,1,1,0,support,low
0.1,0.62,0.98,0.71,6,4,268,4,0,1,0,support,low
0.27,0.62,0.56,0.56,3,3,301,3,0,1,0,support,low
0.83,0.83,0.92,0.71,5,5,267,6,0,1,0,support,low
0.1,0.62,0.93,0.71,6,4,289,4,1,1,0,support,low
0.38,0.38,0.47,0.71,2,4,144,3,0,1,0,support,low
0.4,0.4,0.56,0.56,2,4,148,3,0,1,0,support,low
0.11,0.62,0.83,0.83,6,4,306,4,0,1,0,support,low
0.11,0.62,0.79,0.79,6,4,292,4,0,1,1,technical,low
0.82,0.82,0.91,0.71,5,5,232,5,0,1,0,technical,low
0.36,0.62,0.48,0.71,2,4,137,3,0,1,0,technical,low
0.4,0.4,0.46,0.71,2,4,128,3,0,1,0,management,low
0.87,0.62,0.84,0.84,5,5,231,5,0,1,0,IT,low
0.41,0.41,0.49,0.71,2,4,146,3,0,1,0,IT,low
0.11,0.62,0.91,0.71,6,4,308,4,1,1,0,IT,low
0.1,0.62,0.93,0.71,6,4,253,4,0,1,0,IT,medium
0.38,0.38,0.51,0.71,2,4,146,3,0,1,0,IT,medium
0.39,0.39,0.55,0.71,2,4,156,3,0,1,0,product_mng,medium
0.4,0.4,0.52,0.71,2,4,147,3,0,1,0,product_mng,medium
0.45,0.45,0.48,0.71,2,4,136,3,0,1,0,product_mng,medium
0.74,0.74,0.84,0.84,5,5,249,5,0,1,0,product_mng,medium
0.45,0.45,0.55,0.71,2,4,151,3,0,1,0,IT,medium
0.12,0.62,1,0.71,3,3,278,4,0,1,0,RandD,medium
0.1,0.62,0.77,0.77,7,4,250,5,0,1,0,RandD,medium
0.37,0.62,0.55,0.71,2,4,127,3,0,1,0,RandD,medium
0.89,0.62,0.87,0.87,5,5,255,5,0,1,0,RandD,medium
0.45,0.45,0.47,0.71,2,4,135,3,0,1,0,RandD,medium
0.37,0.62,0.46,0.71,2,4,149,3,0,1,0,marketing,high
0.11,0.62,0.81,0.81,5,5,287,4,0,1,0,sales,low
0.41,0.41,0.48,0.71,2,4,145,3,0,1,0,accounting,medium
0.1,0.62,0.94,0.71,6,4,285,4,0,1,0,support,medium
0.1,0.62,0.93,0.71,7,4,305,4,0,1,0,technical,medium
0.11,0.62,0.95,0.71,7,4,300,4,0,1,0,management,medium
0.4,0.4,0.54,0.71,2,4,139,3,0,1,0,marketing,low
0.41,0.41,0.49,0.71,2,4,130,3,0,1,0,marketing,low
0.1,0.62,0.81,0.81,6,4,268,4,0,1,0,marketing,low
0.73,0.73,0.86,0.86,4,4,245,6,0,1,0,sales,low
0.43,0.43,0.47,0.71,2,4,135,3,0,1,0,sales,low
0.37,0.62,0.46,0.71,2,4,153,3,0,1,0,sales,low
0.11,0.62,0.94,0.71,6,4,276,4,0,1,0,sales,low
0.4,0.4,0.46,0.71,2,4,130,3,0,1,0,sales,low
0.41,0.41,0.54,0.71,2,4,153,3,1,1,0,sales,low
0.82,0.82,0.84,0.84,5,5,244,5,0,1,0,sales,low
0.61,0.61,0.47,0.71,2,4,253,3,0,1,0,sales,low
0.11,0.62,0.91,0.71,7,4,287,4,0,1,0,sales,low
0.37,0.62,0.45,0.71,2,4,131,3,0,1,0,sales,low
0.41,0.41,0.52,0.71,2,4,135,3,0,1,0,sales,low
0.37,0.62,0.52,0.71,2,4,157,3,0,1,0,sales,low
0.88,0.62,0.99,0.71,5,5,262,6,0,1,0,sales,low
0.1,0.62,0.85,0.85,6,4,266,4,0,1,0,sales,low
0.44,0.44,0.48,0.71,2,4,148,3,0,1,0,sales,low
0.38,0.38,0.57,0.57,2,4,140,3,0,1,0,sales,low
0.11,0.62,0.85,0.85,7,4,302,4,0,1,0,sales,low
0.09,0.62,0.98,0.71,6,4,271,4,0,1,0,sales,low
0.45,0.45,0.52,0.71,2,4,145,3,0,1,0,sales,medium
0.1,0.62,0.81,0.81,6,4,290,4,0,1,0,accounting,medium
0.45,0.45,0.47,0.71,2,4,151,3,0,1,0,accounting,medium
0.77,0.77,0.87,0.87,5,5,266,5,0,1,0,accounting,medium
0.44,0.44,0.51,0.71,2,4,140,3,0,1,0,hr,medium
0.39,0.39,0.5,0.71,2,4,142,3,0,1,0,hr,medium
0.1,0.62,0.91,0.71,6,4,246,4,0,1,0,hr,medium
0.09,0.62,0.89,0.71,7,4,308,5,0,1,0,hr,medium
0.37,0.62,0.47,0.71,2,4,141,3,0,1,0,technical,medium
0.9,0.62,1,0.71,5,5,232,5,0,1,0,technical,medium
0.41,0.41,0.56,0.56,2,4,143,3,0,1,0,technical,medium
0.37,0.62,0.52,0.71,2,4,155,3,0,1,0,technical,medium
0.1,0.62,0.86,0.86,6,4,278,4,0,1,0,technical,high
0.81,0.81,1,0.71,4,4,253,5,0,1,0,technical,low
0.11,0.62,0.8,0.8,6,4,282,4,0,1,0,technical,medium
0.11,0.62,0.84,0.84,7,4,264,4,0,1,0,technical,medium
0.4,0.4,0.46,0.71,2,4,149,3,0,1,0,technical,medium
0.09,0.62,0.8,0.8,6,4,304,5,0,1,0,technical,medium
0.48,0.48,0.93,0.71,3,3,219,6,0,1,0,technical,low
0.91,0.62,0.91,0.71,4,4,262,6,0,1,0,support,low
0.43,0.43,0.57,0.57,2,4,135,3,0,1,0,support,low
0.33,0.62,0.88,0.71,6,4,219,5,0,1,0,support,low
0.41,0.41,0.57,0.57,2,4,136,3,0,1,0,support,low
0.41,0.41,0.55,0.71,2,4,154,3,0,1,0,support,low
0.37,0.62,0.54,0.71,2,4,149,3,0,1,0,support,low
0.31,0.62,0.62,0.62,6,4,135,5,0,1,0,support,low
0.09,0.62,0.91,0.71,6,4,275,4,0,1,0,support,low
0.1,0.62,0.87,0.87,6,4,290,4,0,1,0,support,low
0.76,0.76,0.9,0.71,4,4,263,5,0,1,0,support,low
0.41,0.41,0.54,0.71,2,4,145,3,0,1,0,support,low
0.72,0.72,0.96,0.71,5,5,267,5,0,1,0,technical,low
0.4,0.4,0.5,0.71,2,4,141,3,1,1,0,technical,low
0.91,0.62,0.87,0.87,4,4,235,5,0,1,0,technical,low
0.1,0.62,0.83,0.83,6,4,258,4,0,1,0,management,low
0.4,0.4,0.56,0.56,2,4,131,3,0,1,0,IT,low
0.82,0.82,0.86,0.86,5,5,243,5,0,1,0,IT,low
0.1,0.62,0.82,0.82,6,4,266,4,0,1,0,IT,low
0.37,0.62,0.45,0.71,2,4,142,3,0,1,0,IT,low
0.36,0.62,0.51,0.71,2,4,135,3,0,1,0,IT,low
0.39,0.39,0.48,0.71,2,4,141,3,0,1,0,product_mng,medium
0.36,0.62,0.57,0.57,2,4,142,3,0,1,0,product_mng,medium
0.86,0.62,0.84,0.84,5,5,254,5,0,1,0,product_mng,medium
0.73,0.73,0.99,0.71,5,5,262,5,0,1,0,product_mng,medium
0.56,0.56,0.71,0.71,4,4,296,2,0,1,0,IT,medium
0.44,0.44,0.56,0.56,2,4,158,3,0,1,0,accounting,medium
0.31,0.62,0.56,0.56,4,4,238,2,0,1,0,accounting,medium
0.77,0.77,0.93,0.71,4,4,231,5,0,1,0,hr,medium
0.44,0.44,0.45,0.71,2,4,156,3,0,1,0,hr,medium
0.38,0.38,0.46,0.71,2,4,145,3,0,1,0,hr,medium
0.45,0.45,0.48,0.71,2,4,144,3,0,1,0,marketing,medium
0.38,0.38,0.51,0.71,2,4,159,3,0,1,0,sales,medium
0.36,0.62,0.48,0.71,2,4,156,3,0,1,0,accounting,high
0.75,0.75,0.9,0.71,5,5,256,5,0,1,0,support,low
0.1,0.62,0.93,0.71,6,4,298,4,0,1,0,technical,medium
0.1,0.62,0.97,0.71,6,4,247,4,0,1,0,management,medium
0.45,0.45,0.5,0.71,2,4,157,3,0,1,0,marketing,medium
0.42,0.42,0.57,0.57,2,4,154,3,1,1,0,marketing,medium
0.78,0.78,1,0.71,4,4,253,5,0,1,0,marketing,low
